"name" "year" "player_age" "b_total_pa" "b_k_pct" "b_bb_pct" "ops" "xops" "xba" "xslg" "xwoba" "xobp" "xiso" "exit_velocity_avg" "launch_angle_avg" "barrel_batted_rate" "solidcontact_pct" "hard_hit_pct" "z_swing_pct" "z_swing_miss_pct" "oz_swing_pct" "oz_swing_miss_pct" "oz_contact_pct" "iz_contact_pct"
"32" "Lourdes Gurriel Jr." 2020 27 224 21.4 6.3 88.2 81 28.1 48.6 33.1 32.4 20.6 90.8 10.5 11.7 3.1 49.4 70.3 19.5 34 38.9 61.1 80.5
"33" "Ehire Adrianza" 2020 31 101 22.8 10.9 55.7 60.6 20.1 30.9 26.7 29.7 10.8 85.9 16 3 6.1 24.2 68.7 10.1 24.4 40 60 89.9
"34" "Martin Maldonado" 2020 34 165 30.9 16.4 72.3 70.4 20.6 36.2 30.7 34.2 15.6 86.1 19.1 8.1 3.5 26.7 62.9 21.9 23.5 47.1 52.9 78.1
"35" "Kurt Suzuki" 2020 37 129 14.7 8.5 74.5 69.1 24.9 35.6 30.1 33.5 10.8 83.9 18 3.2 6.3 24.2 68.8 11.8 27.8 30.3 69.7 88.2
"36" "Brandon Belt" 2020 32 179 20.1 16.8 101.5 100.3 28.5 59.8 40.2 40.5 31.3 90.7 18 16.8 9.7 46.9 72.4 15.9 18.8 47.2 52.8 84.1
"37" "Adam Eaton" 2020 32 176 18.2 6.8 66.2 69 24.8 38.5 29.1 30.5 13.7 87.8 5.7 4.6 3.8 38.2 67.1 8.6 33 32.5 67.5 91.4
"38" "Willie Calhoun" 2020 26 108 15.7 4.6 49.1 51.8 19.6 27.2 23 24.6 7.7 89.3 14.4 1.2 3.5 38.8 65.3 10.1 21.8 28.9 71.1 89.9
"39" "Marcus Semien" 2020 30 236 21.2 10.6 67.9 63.7 20.4 34.8 27.4 28.9 14.3 86.2 19.3 5 6.8 28.6 70.7 18.8 18.5 39.8 60.2 81.2
"40" "Jorge Polanco" 2020 27 226 15.5 5.8 65.5 69.3 26.4 38.4 29.3 30.9 12 86.6 16.1 2.8 5.1 33.3 64.1 10.4 23 34.6 65.4 89.6
"41" "Renato Nunez" 2020 26 216 29.6 7.9 81.6 72.9 22.6 43.2 30.1 29.7 20.6 86.3 21.1 12.1 4.5 36.6 66.9 23.8 39.2 37.4 62.6 76.2
"42" "Dylan Carlson" 2020 22 119 29.4 6.7 61.6 73.7 24.6 44.3 30.3 29.4 19.7 87.4 9.3 9.2 14.5 42.1 58.9 22.1 24.9 49.2 50.8 77.9
"43" "Jon Berti" 2020 30 149 24.8 15.4 73.3 68.9 24.2 31.5 31.8 37.4 7.3 86.6 7.2 3.5 3.5 33.7 53.6 11.5 16.1 46.8 53.2 88.5
"44" "Ronald Acuna Jr." 2020 23 202 29.7 18.8 98.7 99.9 25.4 59 40.1 40.9 33.6 92.4 18.6 16 18 57 63.3 26.3 20.1 39.8 60.2 73.7
"45" "Bryce Harper" 2020 28 244 17.6 20.1 96 110.8 30.7 65.7 43.5 45.1 35 92.5 16 17.3 4 50.7 73.4 17.9 28 47 53 82.1
"46" "Corey Dickerson" 2020 31 210 16.7 7.1 71.2 71 25.4 40.2 30 30.8 14.8 85.7 11.1 5.7 3.1 30.8 73.9 23.3 33.1 30.8 69.2 76.7
"47" "Marwin Gonzalez" 2020 31 199 20.6 8.5 60.6 72.1 24.2 40.4 30.4 31.7 16.3 89.2 12.6 5.1 5.1 38.4 61.2 18.3 26.5 34.5 65.5 81.7
"48" "J.T. Realmuto" 2020 29 195 24.6 8.2 84 83.2 24.8 49.9 34.4 33.3 25.1 90.2 11.6 13.6 5.6 42.4 66.9 22.6 25.2 47.4 52.6 77.4
"49" "AJ Pollock" 2020 33 210 21.4 5.7 88.1 81.9 27.4 50.2 33.3 31.7 22.8 89.6 13 10.5 7.8 43.1 65.1 14.3 29.9 46.8 53.2 85.7
"50" "Darin Ruf" 2020 34 100 23 13 88.7 80.6 25.1 45.7 33.6 34.9 20.6 89.4 12.5 9.4 9.4 43.8 58.6 20.3 21.2 46.3 53.7 79.7
"51" "Brett Gardner" 2020 37 158 22.2 16.5 74.7 72.1 22.4 36.6 31.6 35.5 14.3 89.2 15 5.2 8.3 36.5 58 16.8 16.9 50.9 49.1 83.2
"52" "Whit Merrifield" 2020 31 265 12.5 4.5 76.4 77.4 29.2 44 32.4 33.4 14.8 86.1 15.8 5.1 4.6 27.3 71.4 11.5 27.8 27.5 72.5 88.5
"53" "Anthony Santander" 2020 26 165 15.2 6.1 89 84.8 28.6 51 33.8 33.8 22.5 88.6 24.7 10.2 6.3 36.7 74.9 22.3 36.9 30.2 69.8 77.7
"54" "Luis Robert" 2020 23 227 32.2 8.8 73.5 76.6 22.6 46.6 31.5 30 24 87.9 16.7 13 9.2 40.5 80.8 31.5 39.6 57.6 42.4 68.5
"55" "Javier Baez" 2020 28 235 31.9 3 59.9 63.2 21.5 37.8 26.5 25.4 16.3 89.4 10.3 8.1 7.4 40.3 73 29.4 38.3 50 50 70.6
"56" "J.P. Crawford" 2020 25 232 16.8 9.9 67.4 70.2 25.6 36 30.7 34.2 10.3 85.8 11.5 1.8 6.6 31.1 58.5 11.1 22.6 37.9 62.1 88.9
"57" "Sean Murphy" 2020 26 140 26.4 17.1 82.1 79.5 21.9 44.2 33.5 35.3 22.3 92.2 14.7 12.7 5.1 49.4 64.4 17.7 19.5 47.5 52.5 82.3
"58" "Yan Gomes" 2020 33 119 18.5 5 78.7 78.7 28.4 46.4 32.3 32.3 18.1 89.9 17.6 5.6 8.9 37.8 64.6 14.8 33.7 37.9 62.1 85.2
"59" "Wil Myers" 2020 30 218 25.7 8.3 95.9 93.9 28.5 58.8 37.7 35.1 30.3 91 13.4 14.8 8.5 45.8 62.1 16.8 24 48.1 51.9 83.2
"60" "Franmil Reyes" 2020 25 241 28.6 10 79.5 77.9 25.1 44.7 33.2 33.2 19.6 92.4 11.2 12.9 4.8 44.9 69.7 28.1 27.3 59.3 40.7 71.9
"61" "DJ LeMahieu" 2020 32 216 9.7 8.3 101.1 84.1 31.5 46.2 35.6 37.9 14.7 91.3 2.2 2.9 8.6 46.5 64 7.2 23.6 20.8 79.2 92.8
