"name" "year" "player_age" "b_total_pa" "b_k_pct" "b_bb_pct" "ops" "xops" "xba" "xslg" "xwoba" "xobp" "xiso" "exit_velocity_avg" "launch_angle_avg" "barrel_batted_rate" "solidcontact_pct" "hard_hit_pct" "z_swing_pct" "z_swing_miss_pct" "oz_swing_pct" "oz_swing_miss_pct" "oz_contact_pct" "iz_contact_pct"
"135" "Nick Castellanos" 2020 28 242 28.5 7.9 78.4 88.4 27.3 54.2 35.6 34.2 26.9 91 16.5 16 6.7 46.7 73.2 19.9 35.9 55.8 44.2 80.1
"136" "Tyler O'Neill" 2020 25 157 27.4 9.6 62.1 65.8 19.6 37.6 28 28.2 18 88 15.1 8.2 7.2 39.2 68.5 28 25.2 48.2 51.8 72
"137" "Hunter Dozier" 2020 29 186 25.8 14.5 73.6 73.4 23.5 38.3 31.9 35.1 14.8 86.4 17 8.2 2.7 30.9 64.1 14.1 24.4 65.7 34.3 85.9
"138" "Ryan McMahon" 2020 26 193 34.2 9.3 71.4 68.1 20.6 39.3 28.7 28.8 18.8 90.1 9.2 11.2 4.7 43 67.5 22.3 26.7 54.9 45.1 77.7
"139" "Kyle Lewis" 2020 25 242 29.3 14 80.1 78.5 24 43.7 33.2 34.8 19.7 88.3 11.1 11.7 7.3 35 63.9 26.7 24.7 58.6 41.4 73.3
"140" "Christian Yelich" 2020 29 247 30.8 18.6 78.6 87 25 47.6 36.5 39.4 22.6 94 7.1 12.1 8.1 55.6 58.1 21.9 17.6 61.6 38.4 78.1
"141" "Willy Adames" 2020 25 205 36.1 9.8 81.3 70 22.9 39.5 29.5 30.5 16.5 88.8 12.5 9.9 9 40.5 69.1 31.2 26.3 56 44 68.8
"142" "Delino DeShields" 2020 28 120 24.2 7.5 61.8 58.2 22.2 30 26 28.2 7.8 84 5.8 1.2 4.9 19.5 66.1 19.6 22.8 56.9 43.1 80.4
"143" "Jacob Stallings" 2020 31 143 28 10.5 69.8 62.7 21.1 33.1 27.1 29.6 12 88.6 12.4 4.5 5.7 37.5 59.4 14.7 20.5 54.4 45.6 85.3
"144" "Garrett Hampson" 2020 26 184 32.6 7.1 66.6 66.9 22.4 38.7 28.3 28.2 16.2 86.3 14.4 8.1 7.2 23.4 62.7 19.6 21.8 59 41 80.4
"145" "Joey Gallo" 2020 27 226 35 12.8 67.9 72.2 19 41.3 30 30.9 22.3 91.2 26.8 14 4.4 43.9 66.3 29.7 19.2 66.3 33.7 70.3
"146" "Yoshi Tsutsugo" 2020 29 185 27 14.1 70.8 74.6 21.2 42 31.1 32.6 20.8 90.2 17.2 9.3 5.6 47.2 62.8 21 17.2 31.1 68.9 79
"147" "Yasmani Grandal" 2020 32 194 29.9 15.5 77.3 74.3 21 40.7 31.3 33.6 19.7 90.3 15.6 7.6 9.5 43.8 49.3 22.2 20.1 50 50 77.8
"148" "Luis Rengifo" 2020 23 106 24.5 13.2 46.4 54.8 18.4 25.3 25.4 29.5 6.9 87.6 3.8 1.5 1.5 33.3 60.2 14.6 24.3 48.1 51.9 85.4
"149" "Rafael Devers" 2020 24 248 27 5.2 79.3 77.2 25.9 46.5 31.8 30.7 20.7 93 10.6 12.1 5.5 43.6 73.6 27.1 38.4 39.4 60.6 72.9
"150" "Danny Jansen" 2020 25 147 21.1 14.3 66.4 80.1 24.4 43.7 33.9 36.4 19.3 85.1 16.3 8.6 3.2 35.5 72.7 18.2 19.9 45.9 54.1 81.8
"151" "Jared Walsh" 2020 27 108 13.9 4.6 97.1 83.3 26.8 52.7 33.7 30.6 25.9 88.1 13.1 12.6 3.4 39.1 67.5 17.6 33.2 33.3 66.7 82.4
"152" "Jay Bruce" 2020 33 103 23.3 6.8 72.1 76.2 23.7 47.3 30.6 28.9 23.6 89 15.3 9.7 9.7 38.9 82.5 18.8 27.4 56.7 43.3 81.3
"153" "Ramon Laureano" 2020 26 222 26.1 10.8 70.4 76.7 23.5 41 33.1 35.7 17.5 87.7 12.3 9.4 4.7 34.4 57.3 15.3 23.4 48.6 51.4 84.7
"154" "Jose Ramirez" 2020 28 254 16.9 12.2 99.3 87.3 26.5 51 35.8 36.3 24.6 88.7 23.2 10.2 6.2 35.6 63.2 13.1 22.6 25.2 74.8 86.9
"155" "Daniel Vogelbach" 2020 28 136 24.3 14.7 72.2 76.6 23.4 41.3 32.4 35.3 18 89.5 10.2 8.5 7.3 41.5 51 16.5 16.1 40.8 59.2 83.5
"156" "Andrew McCutchen" 2020 34 241 19.9 9.1 75.7 83.2 27.7 48.5 34.3 34.7 20.7 89.7 18.2 8.2 8.8 41.2 58.8 16.4 21.4 38.2 61.8 83.6
"157" "Joc Pederson" 2020 28 138 24.6 8 67.9 77.4 23.8 44.6 32.5 32.8 20.8 93 12.5 10.3 4.6 44.8 67 25.1 27.9 44.3 55.7 74.3
"158" "Mike Tauchman" 2020 30 111 23.4 12.6 64.8 66.8 24.4 32 28.8 34.8 7.6 85.4 10 1.4 4.3 25.4 68.5 23.6 20.1 51.1 48.9 76.4
"159" "Gio Urshela" 2020 29 174 14.4 10.3 85.8 88.1 31.5 49.4 36.4 38.7 17.9 91.4 12.3 6.9 6.9 40.8 70.6 13.6 27.6 36.3 63.7 86.4
"160" "Starling Marte" 2020 32 250 16.4 4.8 77 73.5 26.1 41.2 31.3 32.3 15.1 87.1 6.5 6.4 4.3 30.3 72.3 15 34.1 45 55 85
"161" "Nelson Cruz" 2020 40 214 27.1 11.7 99.2 91.2 26.9 54.3 36.3 36.9 27.3 91.6 9.4 15 3.9 47.2 68.3 22 30.8 56.3 43.8 78
"162" "Christian Walker" 2020 29 243 20.6 7.8 79.2 78.6 26.6 45.4 32.3 33.2 18.7 90.4 11.5 6.4 10.5 48.5 74.4 17.9 29.9 49.3 50.7 82.1
"163" "Rougned Odor" 2020 26 148 31.8 4.7 62.3 66 19.3 42.1 26.6 23.9 22.8 86 20.7 11.8 5.4 32.3 66.1 15.2 33.4 47.5 52.5 84.8
"164" "Charlie Blackmon" 2020 34 247 17.8 7.7 80.4 75.9 27.4 42.1 31.7 33.8 14.7 86.9 13.5 4.9 5.5 29.7 69.7 15.4 29.7 42.9 57.1 84.6
"165" "Trea Turner" 2020 27 259 13.9 8.5 98.2 89.3 30.7 52.1 37.2 37.2 21.4 90.5 9.5 9.5 6 40.7 67.9 13.5 27.1 34 66 86.5
"166" "Gary Sanchez" 2020 28 178 36 10.1 61.8 71.9 19 42.8 29.7 29.1 23.8 91.6 19.3 17.4 6.5 49.5 62.2 22.2 29.3 54.4 45.6 77.8
"167" "Jackie Bradley Jr." 2020 30 217 22.1 10.6 81.4 69.5 23 37.6 29.9 31.9 14.6 88.3 4.4 7.6 4.2 36.1 66.9 22.4 23.5 36.4 63.6 77.6
"168" "Will Smith" 2020 25 137 16.1 14.6 98 94.5 28.9 53.8 38.6 40.7 24.9 90.8 24.2 12.9 9.7 47.3 62.3 11.9 15.3 29.2 70.8 88.1
"169" "Leody Taveras" 2020 22 134 32.1 10.4 70.1 68.5 23 37.4 29.1 31.1 14.4 88.9 14.3 6.5 9.1 41.6 64 25.2 29.8 39.5 60.5 74.8
"170" "Ryan O'Hearn" 2020 27 132 28 13.6 60.4 72.5 23.1 38.8 30.7 33.7 15.7 90.7 11.9 6.5 9.1 44.2 63.6 22.3 22.8 48.5 51.5 77.7
"171" "Manuel Margot" 2020 26 159 15.7 8.2 67.9 69.2 25.5 37.7 30 31.5 12.1 89.4 7.5 4.1 6.6 33.9 62.5 15.8 31 38.7 61.3 84.2
"172" "Eric Sogard" 2020 34 128 15.6 8.6 56 64.4 26 31.4 28.7 33 5.3 84.4 15.2 0 1 14.6 55 3.1 21.5 23.2 76.8 96.9
"173" "Maikel Franco" 2020 28 243 15.6 6.6 77.8 70.8 25.9 40.1 29.6 30.7 14.2 86.7 8.4 5.8 7.9 38.6 71.2 15.7 32.8 40.1 59.9 84.3
"174" "Dansby Swanson" 2020 26 264 26.9 8.3 80.9 81.1 26.6 47.1 33.7 34 20.5 89.1 14.7 11.4 4.8 40.7 70.7 26.1 24 47.7 52.3 73.9
"175" "Corey Seager" 2020 26 232 15.9 7.3 94.3 103.4 33 65.3 41 38.1 32.3 93.2 11.9 15.8 13 55.9 82.2 14.2 30.3 56 44 85.8
"176" "Phil Gosselin" 2020 32 102 26.5 9.8 72.6 67.4 23.7 36.2 28.6 31.2 12.5 85.3 13.8 6.2 9.2 29.2 59.7 20.2 23.8 35.2 64.8 79.8
"177" "Anthony Rizzo" 2020 31 243 15.6 11.5 75.5 79.4 26.6 41.2 33.9 38.2 14.6 87.7 16.7 7.8 4.8 34.7 55.7 9.8 31.6 32.9 67.1 90.2
"178" "Matt Chapman" 2020 27 152 35.5 5.3 81.2 82.9 24.5 53.9 32.9 29 29.4 93.6 24.1 18 7.9 51.7 64.9 28 25 57.3 42.7 72
"179" "Mauricio Dubon" 2020 26 177 20.3 8.5 72.2 72.7 25.7 40.3 30.5 32.4 14.6 86.2 16.7 4 4.8 30.6 75.8 18.5 32.8 37.2 62.8 81.5
"180" "Johan Camargo" 2020 27 127 27.6 4.7 61.1 54.8 18.7 31.7 23.3 23.1 13.1 87.3 9.8 4.7 5.9 32.9 69.1 29.7 30.1 42.4 57.6 70.3
"181" "Tim Lopes" 2020 26 151 22.5 4 64.2 62.2 23.4 34.7 26.6 27.5 11.2 87.2 6.5 2.8 8.3 39.4 74.4 25.6 33 38.7 61.3 74.4
"182" "Eloy Jimenez" 2020 24 226 24.8 5.3 89.1 87.1 28.5 54.6 35.5 32.5 26.1 92.4 5.7 16.5 7 55.7 75.4 22.5 37.9 39.8 60.2 77.5
"183" "Paul DeJong" 2020 27 174 28.7 9.8 67.1 72.4 24 40.8 30.3 31.6 16.8 89.2 21.7 7.5 7.5 40.6 75.1 20.9 24.4 64.4 35.6 79.1
"184" "Kyle Seager" 2020 33 248 13.3 12.9 78.8 84.5 25.3 47.3 35 37.2 21.9 89.1 17.7 10.2 6.3 39.8 62.3 13.1 20.6 40 60 86.9
"185" "Byron Buxton" 2020 27 135 26.7 1.5 84.4 81.3 24.9 55.1 32 26.2 30.1 91.2 23.6 13.5 8.3 47.9 79 18.6 48.9 45.8 54.2 81.4
"186" "Nick Markakis" 2020 37 141 16.3 7.1 70.4 70.5 28 36.9 30.1 33.6 9 89 9.5 1.9 6.5 42.1 62.1 7.5 23 27.4 72.6 92.5
"187" "Jedd Gyorko" 2020 32 135 28.1 11.1 83.8 84.5 25 50.8 34.2 33.7 25.7 88.6 15.3 16 4.9 43.2 60 21 26 54.5 45.5 79
"188" "Matt Joyce" 2020 36 148 27.7 13.5 68.2 67.2 22.6 33.7 30 33.5 11 86.7 12.5 3.4 8 32.2 66.2 23.9 25 51.2 48.8 76.1
"189" "DJ Stewart" 2020 27 112 33.9 17.9 80.3 75 19.4 39.5 32.6 35.5 20.1 91.4 17.8 19.2 1.9 46.2 75.3 28.7 23.2 52.6 47.4 71.3
"190" "Tommy Edman" 2020 25 227 21.1 7 68.5 70 26.5 36.7 30.5 33.3 10.2 86.5 8.2 3.8 4.4 33.5 60.4 11.3 25.7 36.2 63.8 88.7
"191" "Tyler Wade" 2020 26 105 21 11.4 59.3 68.3 24.3 33.1 30.5 35.2 8.8 86.7 12.6 1.5 4.4 28.8 58.3 11.4 22.2 41 59 88.6
"192" "Mark Canha" 2020 31 243 22.2 15.2 79.5 80 24.1 41.3 34.5 38.7 17.2 89.7 19.4 7.7 8.5 39.4 57.6 18.4 19.3 40 60 81.6
"193" "Bryan Reynolds" 2020 25 208 27.4 10.1 63.1 71 22.8 40 30.2 31 17.3 87.5 10.2 10.2 3.9 38.3 69.9 15.8 27.6 52.7 47.3 84.2
"194" "Donovan Solano" 2020 33 203 19.2 4.9 82.8 74.1 28.1 41.9 30.7 32.2 13.8 88.5 15.5 4.6 7.9 34.9 68.7 13.3 36.1 37.4 62.6 86.7
"195" "Brandon Lowe" 2020 26 224 25.9 11.2 91.6 91.3 26.4 55.5 36.9 35.8 29.1 89.8 18.1 17.5 5.1 43.1 72.6 28 20.9 63 37 72
"196" "Evan White" 2020 24 202 41.6 8.9 59.9 65.2 18.9 38.3 27.7 26.9 19.3 91.7 13.7 14.1 8.1 52.5 63.1 28.9 24.3 62 38 71.1
"197" "Nolan Arenado" 2020 29 201 10 7.5 73.8 67.8 23.6 38.9 27.5 28.9 15.3 87.8 19.1 5.4 4.2 33.7 66.2 9.5 32.4 32.8 67.2 90.5
"198" "Kevin Newman" 2020 27 172 12.2 7 55.5 64.7 25.4 33.6 28.3 31.1 8.2 85.5 8.7 0.7 5.1 28.3 60.2 5.7 27.7 32.6 67.4 94.3
"199" "Shed Long Jr." 2020 25 128 28.9 8.6 53.3 55.5 17.7 30.7 24.2 24.8 13 87.1 2.6 6.3 3.8 32.5 62.3 23.5 28.2 57.5 42.5 76.5
"200" "Salvador Perez" 2020 30 156 23.1 1.9 98.6 97.1 32.5 62.4 38.7 34.7 29.9 91 14.2 13.9 9.6 47 79.3 16.2 43.5 41.4 58.6 83.8
"201" "Aaron Hicks" 2020 31 211 18 19.4 79.3 84.4 25.7 43.8 36.4 40.6 18.1 88.2 11.1 6.9 6.1 38.2 66.1 22.6 15.5 48 52 77.4
"202" "Nick Solak" 2020 25 233 18 7.7 67.1 71.7 26.4 39.1 31.1 32.6 12.7 89.9 9.4 4.7 7 40.4 63.5 9.6 24.4 43.6 56.4 90.4
"203" "Pat Valaika" 2020 28 150 22.7 5.3 78.9 77 26.5 46.5 31.4 30.5 20 88.7 18.4 8.3 8.3 34.6 70 16.4 34 50 50 83.6
"204" "Rio Ruiz" 2020 26 204 22.5 8.3 71.1 64.6 21.7 36.2 26.9 28.4 14.5 88.1 11 8.5 6.4 39.1 78 19.7 28.4 46.5 53.5 80.3
"205" "Ryan Braun" 2020 37 141 19.1 5 76.5 79.3 27.2 47.5 32.5 31.8 20.3 89.8 15.3 11.7 2.9 40.8 69.4 15.4 40 45.7 54.3 84.6
"206" "Jo Adell" 2020 21 132 41.7 5.3 47.8 51.7 17.5 29.1 22.2 22.6 11.6 90.6 11.4 4.3 11.6 36.2 70.4 35.4 34 54 46 64.6
"207" "Pedro Severino" 2020 27 178 22.5 9 70.8 77.5 27 43.4 32.7 34.1 16.4 87.7 9.5 7.4 4.1 31.7 66.9 14.6 29 50.4 49.6 85.4
"208" "Anthony Rendon" 2020 30 232 13.4 16.4 91.5 89.1 28.8 47.1 37.5 42 18.3 90.1 19.5 6.3 7.6 40.5 66.7 8.8 16.6 36.4 63.6 91.2
"209" "Josh Naylor" 2020 23 104 11.5 4.8 61.8 70.2 27.8 38.2 30 32 10.4 86.8 7.8 3.5 2.4 34.1 69.8 9.7 27.1 31.4 68.6 90.3
"210" "Austin Riley" 2020 23 206 23.8 7.8 71.6 79.3 26.2 47.1 32.5 32.2 20.9 91 13.6 10 5 42.9 77.7 20.8 32.4 50.8 49.2 79.2
"211" "Jake Cronenworth" 2020 26 192 15.6 9.4 83.1 93.1 32.4 54.1 38.3 39 21.7 89.8 10.6 10.5 5.6 42.7 58.1 10.3 19 38.8 61.2 89.7
"212" "Shin-Soo Choo" 2020 38 127 26 10.2 72.3 79 25.1 45.4 32.4 33.6 20.3 90 11.4 10.1 7.6 35.4 60.2 26.8 20.1 50 50 73.2
"213" "Gregory Polanco" 2020 29 174 37.4 7.5 53.7 69.4 22.2 41.4 28.4 28 19.2 92.9 20.8 12.6 8.4 51.6 72.7 32.9 34.4 59.6 40.4 67.1
"214" "Nick Madrigal" 2020 23 109 6.4 3.7 74.5 69.7 30.4 35.5 30.8 34.2 5.1 84 4.1 0 0 20.8 61.3 6.9 25.9 20 80 93.1
"215" "Freddy Galvis" 2020 31 159 18.9 8.2 71.2 67.1 22.1 36.1 29 31 14 87 13.6 4.5 6.3 27.9 65.7 20.5 26.7 39.8 60.2 79.5
"216" "Josh Fuentes" 2020 27 103 28.2 1.9 75.9 61.1 25.3 33.9 25.9 27.2 8.6 84 10.6 1.4 5.6 23.9 72.8 14.2 38.8 42.1 57.9 85.8
"217" "Kevin Kiermaier" 2020 30 159 26.4 12.6 68.3 72.4 24.9 37.6 31.6 34.8 12.7 87.7 -0.4 6.3 3.1 41.7 72.2 19.7 23.9 58.3 41.7 80.3
"218" "Albert Pujols" 2020 40 163 15.3 5.5 66.5 69.4 24.8 40 28.5 29.4 15.2 88.6 16.4 5.5 5.5 34.4 64.6 11.6 35.4 39.7 60.3 88.4
"219" "Victor Robles" 2020 23 189 28 4.8 60.6 56.1 20.2 28 25.4 28.1 7.8 82.2 19 1.7 5.1 22.9 71.2 21.2 28.6 42.9 57.1 78.8
"220" "Alex Dickerson" 2020 30 170 17.6 9.4 94.7 84.9 27.2 50 34.6 34.9 22.8 90.9 17.8 10.7 4.1 44.3 72.8 15.4 31.5 38.5 61.5 84.6
"221" "Ben Gamel" 2020 28 127 30.7 10.2 71.8 75.2 26.9 40.9 31.8 34.3 14 87.9 11.5 6.7 4 32 59.1 11.8 25.2 68.8 31.3 88.2
"222" "Bo Bichette" 2020 22 128 21.1 3.9 84 84.2 29.1 52.3 33.7 31.9 23.2 89.2 12 12.5 9.4 40.6 71.5 9.2 43.4 40.6 59.4 90.8
"223" "Daulton Varsho" 2020 24 115 28.7 10.4 65.3 63.7 19.6 34.4 27.7 29.3 14.8 86.2 18.4 4.4 5.9 38.2 65.7 20 27.8 53 47 80
"224" "Hanser Alberto" 2020 28 231 13 2.2 69.6 59 24.5 32 25.3 27 7.5 82.2 13 1 3.1 20.4 74.2 11.1 51.3 24.2 75.8 88.9
"225" "Rhys Hoskins" 2020 27 185 23.2 15.7 88.7 89.1 23.8 51.2 36.8 37.9 27.4 89.8 24.8 14.8 5.6 42.6 61 21 22.2 41.9 58.1 79
"226" "Todd Frazier" 2020 34 172 24.4 6.4 68.4 66.9 22.7 37.3 28.1 29.6 14.7 87.8 20.5 5.2 6.1 31.3 62.1 19 28.5 41.1 58.9 81
"227" "Austin Nola" 2020 31 184 18.5 9.8 82.5 82.4 27.9 46.3 34.3 36.1 18.4 89.7 12.5 7.8 7 43.4 62.5 16 16.3 36.8 63.2 84
"228" "Andrelton Simmons" 2020 31 127 12.6 6.3 70.2 57.9 24.1 28.4 26.1 29.5 4.3 86.5 6 0 0 31.4 64.5 11.6 28 27.9 72.1 88.4
"229" "Alec Bohm" 2020 24 180 20 8.9 88.1 81.9 28.6 46.4 34.3 35.5 17.8 90.2 4.8 10.3 3.2 46.8 70.7 16.6 25.2 48.2 51.8 83.4
"230" "Ji-Man Choi" 2020 29 145 24.8 13.8 74.1 61.5 19.5 30.7 26.7 30.8 11.2 89 15.7 3.4 10.1 39.3 67.4 21.4 22.4 61.8 38.2 78.6
"231" "Luis Urias" 2020 23 120 26.7 8.3 60.2 59.1 22.6 29.4 26.3 29.7 6.8 87.7 2.3 1.3 5.2 27.3 56.3 17.2 25.5 34.9 65.1 82.8
"232" "Luis Garcia" 2020 20 139 20.9 3.6 66.8 67.2 26.8 37.8 28.6 29.4 11 83.5 -3.6 4.8 2.9 29.5 73.5 22.9 30.5 41.2 58.8 77.1
"233" "Michael Chavis" 2020 25 158 31.6 5.1 63.6 66.6 22.4 39.1 27.9 27.5 16.6 88.3 10 7.1 7.1 37.8 71.2 26.4 32.3 64.4 35.6 73.6
"234" "Robinson Cano" 2020 38 182 13.2 4.9 89.6 82.8 30.1 48.7 34.1 34.1 18.6 90.4 6.2 7.4 8.8 46.6 76.3 9.6 42 35.3 64.7 90.4
"235" "Jason Kipnis" 2020 33 135 30.4 13.3 74.4 63.5 18.3 33.9 27.5 29.6 15.6 86.2 18.2 9.3 4 30.7 57.7 14.3 23.2 53.4 46.6 85.7
"236" "Erik Gonzalez" 2020 29 193 26.4 4.1 61.3 67.4 23.9 39.6 28.3 27.8 15.7 88.5 5.5 6.7 8.2 44 74.2 19.1 35 56.1 43.9 80.9
"237" "Niko Goodrum" 2020 28 179 38.5 10.1 59.8 60.4 18.5 33.9 25.6 26.5 15.4 88.8 16 9.8 9.8 40.2 66.4 30.6 26.1 55.5 44.5 69.4
"238" "Roman Quinn" 2020 27 116 33.6 4.3 57.3 52.6 20.1 27.5 23.5 25.1 7.4 85.8 9.7 2.9 2.9 25.7 68.5 18.6 25.1 68.6 31.4 81.4
"239" "Evan Longoria" 2020 35 209 18.7 5.3 72.2 86.1 28.4 53 35.4 33.1 24.6 91.7 10.7 11.5 3.8 45.2 62.4 12.2 27.8 41.4 58.6 87.8
"240" "Jose Abreu" 2020 33 262 22.5 6.9 98.7 94.3 30 58.5 37.9 35.8 28.5 92.9 10.9 14.3 9.3 53.3 68.6 19.7 32.2 48.1 51.9 80.3
"241" "Brandon Crawford" 2020 33 193 24.4 7.8 79.2 71.5 23.8 40.2 29.8 31.3 16.4 88.7 12.4 9.4 4.7 39.4 78.1 21.7 31.7 55.1 44.9 78.3
"242" "J.D. Martinez" 2020 33 237 24.9 9.3 68 75.4 23.1 44.7 30.4 30.7 21.6 89.5 14.7 11 7.8 41.6 73.7 20.3 30.9 46.1 53.9 79.7
"243" "Eric Thames" 2020 34 140 30 10 61.7 69.1 21.9 37.7 29.2 31.4 15.8 88.7 14.6 6.2 12.3 46.9 68.2 20.3 31.6 45.5 54.5 79.7
"244" "Hunter Renfroe" 2020 28 139 26.6 10.1 64.5 69.9 19.8 40.8 29.3 29.1 21 89.4 17.3 9.3 1.2 38.4 56.9 25.5 27.2 45 55 74.5
"245" "James McCann" 2020 30 111 27 7.2 89.6 79.3 25.8 45.5 32.9 33.8 19.8 90.5 15 8.7 5.8 47.8 67.4 18.8 27.4 54 46 81.2
"246" "Max Stassi" 2020 29 105 20 10.5 88.6 92.2 27.1 56.8 37.1 35.4 29.7 91.6 15 11.1 12.5 41.7 67.9 20.6 23.1 46.2 53.8 79.4
"247" "Eugenio Suarez" 2020 29 231 29 13 78.1 80.1 21.8 47.5 32.8 32.6 25.8 89.1 17.9 14.4 5.3 44.7 63.3 21.7 23.9 53.4 46.6 78.3
"248" "Cody Bellinger" 2020 25 243 17.3 12.3 78.9 87.1 28.4 49.7 36 37.4 21.3 89.3 16.6 9.4 7 41.5 68.1 19.6 27.9 31.9 68.1 80.4
"249" "Brad Miller" 2020 31 171 26.9 14.6 80.7 86.1 25.3 48.3 36.4 37.8 23 89.8 11.2 13.4 6.2 43.3 59.7 31 23.7 45.2 54.8 69
"250" "Xander Bogaerts" 2020 28 225 18.2 9.3 86.7 79.9 25.9 47.2 32.7 32.7 21.3 89 8.7 8.6 5.5 36.8 64.2 17.4 23.8 37.6 62.4 82.6
"251" "Brian Goodwin" 2020 30 164 32.9 10.4 71.5 68.3 21.2 38.3 28.6 30 17 89.9 20.7 10.9 8.7 41.3 59.9 26.8 19.7 55.2 44.8 73.2
"252" "Lewis Brinson" 2020 26 112 26.8 5.4 63.6 66.8 24.6 38.2 28.4 28.6 13.6 88.1 7.9 7.9 3.9 36.8 71.1 20.7 36.2 47.6 52.4 79.3
"253" "Ozzie Albies" 2020 23 124 24.2 4 77.3 69.7 24 42 29.1 27.7 18 86.7 17.8 9.1 6.8 28.4 81.8 16.3 33.8 45.9 54.1 83.7
"254" "Marcell Ozuna" 2020 30 267 22.5 14.2 106.7 105 31.5 63.8 41.7 41.2 32.3 93 16.4 15.4 8.3 54.4 68.5 21 28.3 51.8 48.2 79
"255" "Matt Olson" 2020 26 245 31.4 13.9 73.4 79.1 22.4 45.5 32.6 33.6 23.1 92.3 19.6 12.8 8.3 45.9 67.4 29.5 19.8 51.9 48.1 70.5
"256" "Taylor Ward" 2020 27 102 27.5 7.8 71.6 70.9 25.1 40 29.7 30.9 14.9 91.1 10.4 4.5 10.6 47 62.2 13.1 24.2 54.5 45.5 86.9
"257" "Ian Happ" 2020 26 231 27.3 13 86.4 83.5 26.2 47 34.8 36.5 20.8 91.1 9 10.3 5.1 48.5 64.6 24.1 24.2 63.9 36.1 75.9
"258" "Victor Reyes" 2020 26 213 21.1 4.2 70.6 75.2 28.7 42.8 31.7 32.4 14.1 90 10.7 3.8 6.4 41.4 68.9 18.8 41.6 37.2 62.8 81.2
"259" "Max Kepler" 2020 27 196 18.4 11.2 76 77.8 25.8 42.8 32.9 35 16.9 88.5 21.9 5.1 7.4 38.2 66.5 11.2 24.1 47.4 52.6 88.8
"260" "Alex Bregman" 2020 26 180 14.4 13.3 80.1 76.4 25.6 40 32.7 36.4 14.4 88.9 17.3 3.9 6.3 33.6 56.2 8.2 18.1 32.9 67.1 91.8
"261" "Jose Marmolejos" 2020 27 115 27.8 6.1 67.2 73.3 23.3 44.6 30 28.7 21.3 90.5 10.5 12 4 45.3 61 19.2 29.5 58.6 41.4 80.8
"262" "Miguel Cabrera" 2020 37 231 22.1 10.4 74.6 89 29.1 52.2 36.1 36.8 23.1 93.2 12.1 9.7 5.8 49.7 70.5 18.4 29.9 55.9 44.1 81.6
"263" "Jorge Alfaro" 2020 27 100 36 4 62.4 66 22.3 38.3 27.5 27.7 16.1 89.2 2.8 7 7 49.1 80.1 28.9 44.5 60 40 71.1
"264" "Joey Bart" 2020 24 111 36.9 2.7 60.9 55.2 20.1 29.4 24 25.8 9.3 89 12.6 4.8 9.7 48.4 66.2 25.9 38.8 47.7 52.3 74.1
"265" "Omar Narvaez" 2020 28 126 31 12.7 56.2 58.5 17.3 29.4 26.2 29.1 12.1 81.6 18.7 7.2 2.9 21.7 68.7 22.8 32.6 41.4 58.6 77.2
"266" "George Springer" 2020 31 222 17.1 10.8 89.6 95.5 29.4 57 38.7 38.5 27.6 88.7 18.3 12.4 5.9 42.5 74 19.2 23.6 42.6 57.4 80.4
"267" "Carter Kieboom" 2020 23 122 27 13.9 55.6 55 18 22 26.7 33 4 85.1 11.9 0 0 20.9 67.2 12.2 25.3 55.4 44.6 87.8
"268" "Vladimir Guerrero Jr." 2020 21 243 15.6 8.2 79.1 77.1 26.3 44.1 32.1 33 17.7 92.5 4.6 8.7 6 50.8 74.2 17.4 24.5 44.1 55.9 82.6
"269" "Kevin Pillar" 2020 31 223 18.4 5.8 79.8 75.2 27 43.2 31.2 32 16.2 87.1 13.4 5.4 5.4 36.5 67.2 15.6 36.8 42.9 57.1 84.4
"270" "Wilmer Flores" 2020 29 213 16.9 6.1 83 73.8 25.1 43.9 30 29.9 18.8 87.9 19 6.1 6.1 34.4 69.7 12.6 29.6 28 72 87.4
"271" "Justin Turner" 2020 36 175 14.9 10.3 86 94.7 29.9 55.3 38.6 39.4 25.4 90.3 17.5 11.2 9.6 44 67.2 13.2 19 46.2 53.8 86.8
"272" "Jurickson Profar" 2020 27 202 13.9 7.4 76.9 76.5 28.4 41.3 32.9 35.2 12.9 87.2 11 3.2 3.2 27.7 66 14.4 28.5 32.8 67.2 85.6
"273" "Kris Bryant" 2020 28 147 27.2 8.2 64.4 63.7 20.2 34.8 27.5 28.9 14.6 86.1 20.7 5.5 9.9 31.9 74.4 22 23.8 50 50 78
"274" "Carlos Correa" 2020 26 221 22.2 7.2 70.9 72.8 25.6 40.6 30.6 32.2 14.9 88.6 11.4 5.9 6.5 41.8 65.7 14.4 31.8 40.8 59.2 85.6
"275" "Cavan Biggio" 2020 25 265 23 15.5 80.5 69.3 21.5 34.7 30.7 34.6 13.1 87.4 16.7 5 8.8 30.8 58.7 18.2 13.6 44.7 55.3 81.8
"276" "Jeimer Candelario" 2020 27 206 23.8 9.7 87.2 82 27.7 46.9 34 35.1 19.2 90.2 13.3 10.3 6.6 47.1 67.5 16.7 26 51.7 48.3 83.3
"277" "Rowdy Tellez" 2020 25 127 15.7 8.7 88.6 86.5 28.6 51 35.3 35.5 22.4 90.7 10.6 8.4 9.5 45.3 70.1 14.5 34 38.6 61.4 85.5
