player_age,b_k_pct,b_bb_pct,ops,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,solidcontact_pct,hard_hit_pct,z_swing_pct,z_swing_miss_pct,oz_swing_pct,oz_swing_miss_pct,oz_contact_pct,iz_contact_pct
24,26.7,4.3,52.5,83.1,13.3,2.5,0,25,64.8,18.1,27.4,59.3,40.7,81.9
33,20,6.5,68.4,89,6.5,7.1,6.3,42,79,19.7,32,40.2,59.8,80.3
28,26,9.5,79.7,91.9,8.3,13.4,2.4,47.2,68.7,17.3,35.6,43.6,56.4,82.7
32,22.1,11,79.9,88.8,16.3,9.5,4.8,40,68.7,15.2,29.5,43.3,56.7,84.8
26,28.6,12.6,65.7,89.1,9.2,10.7,5.8,42.7,65,26.3,24.1,48.9,51.1,73.7
26,15,4.2,61.7,85.4,20,4.3,5.3,27.7,71.1,10.9,40.8,38.2,61.8,89.1
30,24.4,13.3,96.8,88.2,18.4,10.9,9.5,42.3,58,19,19.8,41.9,58.1,81
28,28.1,8.8,88.8,92.2,15.7,11.6,10.1,40.6,68.9,19.2,22.9,66.7,33.3,80.1
28,27,8.8,85.5,90.4,17.3,13.8,3.2,44.7,57.8,19.7,25.4,44,56,80.3
31,18.5,6.8,60.5,88.6,18.1,5.5,3.7,31.7,69.9,12.9,35.2,36.6,63.4,87.1
28,27.5,5.5,54.5,84.1,8.2,0,5.6,20.8,59,15.3,27.2,54.5,45.5,84.7
35,23.5,17.6,84.2,92.8,6.2,6.9,5.2,53.4,63.9,24.6,21.3,56.4,43.6,75.4
35,15.9,5.3,60.6,85.1,15.5,4.9,1.9,25.2,72.2,9.1,32,27.4,72.6,90.4
36,31.1,11.4,74.5,85.3,11.9,7.9,9.2,28.9,65.4,28.2,28.5,49.5,50.5,71.8
30,19,5.4,77.7,86.7,5.1,3.7,3.7,32.1,63.8,7.7,36.3,37.3,62.7,92.3
27,10.8,3.6,73.2,89.2,10,3.7,6.1,40.5,61.6,9.2,28,25,75,90.8
30,19.1,9.2,51,78.2,8.4,1.1,0,6.4,65.1,20,27.2,34.8,65.2,80
33,21.9,12.3,86.4,89.4,17,11.8,8.3,38.2,75.8,23.2,21.5,62.1,37.9,76.8
29,20.9,4.1,68,88.5,16.2,7.3,9.2,43.1,70.7,15.7,30.1,44.2,55.8,84.3
26,16.9,7.4,73.4,89,9.6,5.6,6.3,38.7,67.2,19.3,28,31.7,68.3,80.7
38,13.5,3.8,66,84.7,12.3,2.4,7.9,25.4,72.2,14.7,39.5,38.8,61.2,85.3
26,36.8,7.9,71,88.3,10.8,9.5,3.2,44.4,65.7,28.8,29.3,59.2,40.8,71.2
27,22.6,4.5,88.6,87.2,6.7,10.1,4.4,35.8,73.2,23.2,39.2,43.6,56.4,76.8
26,28.2,7.3,50.9,85.3,16.9,10.1,2.5,31.6,71.2,28,31.5,39.7,60.3,72
29,12.3,16.7,81.4,88.3,-7.9,2.1,3.1,30.9,56.7,12.1,19.6,23.4,76.6,87.9
25,22.6,7,99.3,89.8,10.8,13.3,5.9,46.7,71.9,19.2,33.5,39.4,60.6,80.8
29,12.3,13.2,66.1,85.8,18.8,1.2,2.4,15.9,66.3,8.7,19,31.6,68.4,91.3
23,21.4,7.9,87.8,87.5,10.6,7.1,2,42.7,81.5,21.7,40.8,42.5,57.5,78.3
23,27.1,5,92.9,85.3,11.3,9.6,4.3,31.9,72.8,20.3,38.7,48.2,51.8,79.7
25,14,6.1,69.9,87.2,0.8,2.2,2.8,31.1,65.9,9.5,27.2,32.7,67.3,90.5
37,19.3,16.6,80,87.4,15.4,9.1,9.8,35.7,57.3,17.2,17.2,38.1,61.9,82.8
31,27.2,8.7,91.9,93.4,8.1,11.2,6.9,57.8,67.9,21.7,31.8,51.4,48.6,78.3
24,25.4,12.3,80.5,88.3,13.5,11.1,3.9,41.8,57.3,19.3,17.9,41.3,58.7,80.7
33,25.9,6.6,71.1,91.7,18.6,8.6,6.7,43.8,63.7,20.9,22.2,57.5,42.5,79.1
24,20.4,7.7,84.4,87,5.9,6.4,5.1,34.4,57.9,12.7,27.5,31.5,68.5,87.3
27,43.9,8.8,75.7,95.2,20.2,22.9,9.4,57.3,70.3,29.4,28,70.5,29.5,70.6
27,23.5,9.1,66.1,87.9,6.2,3.5,8.2,36.5,61.8,15.9,20.6,44.1,55.9,84.1
29,22,4.5,79.7,87.2,8.7,5.6,4.8,33.6,77.2,17.2,38.2,46.8,53.2,82.8
26,22.5,4.7,64.9,86.3,16.7,4.3,7.5,34.4,63.7,22,23.7,42.6,57.4,78
28,30.4,6.8,91.7,93.3,15.3,18,4.7,53.1,62.9,27.7,30.9,48.5,51.5,72.3
28,26.5,9.9,66.9,91.7,5.9,8.6,3.6,42.9,72.3,25.5,26.9,49.3,50.7,74.5
23,9.1,6.6,76.5,87.5,12.1,3.9,7.8,30.4,68.1,8,23.7,15.4,84.6,92
31,12.6,11.2,88.8,87.3,11.9,0.9,8.4,31.8,56.6,13.8,22.8,25.4,74.6,86.2
30,14.4,9.6,67.2,86.5,10.8,0.6,3.2,26.6,64.1,10.7,23.3,30.1,69.9,89.3
21,22.2,7.4,56.8,86.5,7.5,0,5.3,26.3,60.5,4.6,24.8,46.6,53.4,95.4
29,14.7,8.2,79.2,87.5,18.1,6.2,8.4,35.4,69.6,15.8,39.4,30.9,69.1,84.2
25,33.9,14,74.1,88.8,20,12.3,7,36.8,68.8,27,20.5,69,31,73
28,28.5,7.9,78.4,91,16.5,16,6.7,46.7,73.2,19.9,35.9,55.8,44.2,80.1
25,27.4,9.6,62.1,88,15.1,8.2,7.2,39.2,68.5,28,25.2,48.2,51.8,72
29,25.8,14.5,73.6,86.4,17,8.2,2.7,30.9,64.1,14.1,24.4,65.7,34.3,85.9
26,34.2,9.3,71.4,90.1,9.2,11.2,4.7,43,67.5,22.3,26.7,54.9,45.1,77.7
25,29.3,14,80.1,88.3,11.1,11.7,7.3,35,63.9,26.7,24.7,58.6,41.4,73.3
29,30.8,18.6,78.6,94,7.1,12.1,8.1,55.6,58.1,21.9,17.6,61.6,38.4,78.1
25,36.1,9.8,81.3,88.8,12.5,9.9,9,40.5,69.1,31.2,26.3,56,44,68.8
28,24.2,7.5,61.8,84,5.8,1.2,4.9,19.5,66.1,19.6,22.8,56.9,43.1,80.4
26,32.6,7.1,66.6,86.3,14.4,8.1,7.2,23.4,62.7,19.6,21.8,59,41,80.4
27,35,12.8,67.9,91.2,26.8,14,4.4,43.9,66.3,29.7,19.2,66.3,33.7,70.3
29,27,14.1,70.8,90.2,17.2,9.3,5.6,47.2,62.8,21,17.2,31.1,68.9,79
32,29.9,15.5,77.3,90.3,15.6,7.6,9.5,43.8,49.3,22.2,20.1,50,50,77.8
23,24.5,13.2,46.4,87.6,3.8,1.5,1.5,33.3,60.2,14.6,24.3,48.1,51.9,85.4
27,13.9,4.6,97.1,88.1,13.1,12.6,3.4,39.1,67.5,17.6,33.2,33.3,66.7,82.4
33,23.3,6.8,72.1,89,15.3,9.7,9.7,38.9,82.5,18.8,27.4,56.7,43.3,81.3
28,16.9,12.2,99.3,88.7,23.2,10.2,6.2,35.6,63.2,13.1,22.6,25.2,74.8,86.9
34,19.9,9.1,75.7,89.7,18.2,8.2,8.8,41.2,58.8,16.4,21.4,38.2,61.8,83.6
28,24.6,8,67.9,93,12.5,10.3,4.6,44.8,67,25.1,27.9,44.3,55.7,74.3
30,23.4,12.6,64.8,85.4,10,1.4,4.3,25.4,68.5,23.6,20.1,51.1,48.9,76.4
29,14.4,10.3,85.8,91.4,12.3,6.9,6.9,40.8,70.6,13.6,27.6,36.3,63.7,86.4
32,16.4,4.8,77,87.1,6.5,6.4,4.3,30.3,72.3,15,34.1,45,55,85
29,20.6,7.8,79.2,90.4,11.5,6.4,10.5,48.5,74.4,17.9,29.9,49.3,50.7,82.1
26,31.8,4.7,62.3,86,20.7,11.8,5.4,32.3,66.1,15.2,33.4,47.5,52.5,84.8
34,17.8,7.7,80.4,86.9,13.5,4.9,5.5,29.7,69.7,15.4,29.7,42.9,57.1,84.6
27,13.9,8.5,98.2,90.5,9.5,9.5,6,40.7,67.9,13.5,27.1,34,66,86.5
28,36,10.1,61.8,91.6,19.3,17.4,6.5,49.5,62.2,22.2,29.3,54.4,45.6,77.8
30,22.1,10.6,81.4,88.3,4.4,7.6,4.2,36.1,66.9,22.4,23.5,36.4,63.6,77.6
22,32.1,10.4,70.1,88.9,14.3,6.5,9.1,41.6,64,25.2,29.8,39.5,60.5,74.8
27,28,13.6,60.4,90.7,11.9,6.5,9.1,44.2,63.6,22.3,22.8,48.5,51.5,77.7
34,15.6,8.6,56,84.4,15.2,0,1,14.6,55,3.1,21.5,23.2,76.8,96.9
